codigo;descripcion
100;Impuestos sobre la Renta de las Personas Físicas.
101;Impuesto sobre Sociedades.
102;Impuesto sobre la Renta de No Residentes.
110;Impuesto sobre Sucesiones y Donaciones.
111;Impuesto sobre Patrimonio.
112;Impuesto sobre Bienes Inmuebles. Bienes Inmuebles de Naturaleza Rústica.
113;Impuesto sobre Bienes Inmuebles. Bienes inmuebles de Naturaleza Urbana.
114;Impuesto sobre Bienes Inmuebles. Bienes Inmuebles de características especiales.
115;Impuesto sobre Vehículos de Tracción Mecánica.
116;Impuesto sobre Incremento del Valor de los Terrenos de Naturaleza Urbana.
117;Impuesto sobre viviendas desocupadas.
130;Impuesto sobre Actividades Económicas.
160;Sobre impuestos del Estado.
161;Sobre impuestos de la Comunidad Autónoma.
170;En el Impuesto sobre Bienes Inmuebles.
171;Recargo provincial en el Impuesto sobre Actividades Económicas.
179;Otros recargos sobre impuestos directos de otros entes locales.
210;Impuesto sobre el Valor Añadido.
220;Impuestos Especiales.
260;Sobre impuestos del Estado.
261;Sobre impuestos de la Comunidad Autónoma.
270;Sobre impuestos de otros entes locales.
290;Impuesto sobre construcciones, instalaciones y obras.
291;Impuesto sobre gastos suntuarios (Cotos de caza y pesca).
292;Arbitrio sobre importaciones y entregas de mercancías en Canarias (AIEM).
293;Impuesto general indirecto canario (IGIC).
294;Impuesto sobre la producción, los servicios y la importación (IPSI) de Ceuta y Melilla.
295;Impuesto sobre primas de seguros.
296;Impuesto sobre transmisiones patrimoniales y actos jurídicos documentados.
299;Otros Impuestos indirectos.
300;Servicio de abastecimiento de agua.
301;Servicio de alcantarillado.
302;Servicio de recogida de basuras.
303;Servicio de tratamiento de residuos.
304;Canon de saneamiento.
309;Otras tasas por prestación de servicios básicos.
310;Servicios hospitalarios.
311;Servicios asistenciales.
312;Servicios educativos.
313;Servicios deportivos.
319;Otras tasas por prestación de servicios de carácter preferente.
320;Licencias de caza y pesca.
321;Licencias urbanísticas.
322;Cédulas de habitabilidad y licencias de primera ocupación.
323;Tasas por otros servicios urbanísticos.
324;Tasas sobre el juego.
325;Tasa por expedición de documentos.
326;Tasa por retirada de vehículos.
329;Otras tasas por la realización de actividades de competencia local.
330;Tasa de estacionamiento de vehículos.
331;Tasa por entrada de vehículos.
332;Tasa por utilización privativa o aprovechamiento especial por empresas explotadoras de servicios de suministros.
333;Tasa por utilización privativa o aprovechamiento especial por empresas explotadoras de servicios de telecomunicaciones.
334;Tasa por apertura de calas y zanjas.
335;Tasa por ocupación de la vía pública con terrazas.
336;Tasa por ocupación de la vía pública con suspensión temporal del tráfico rodado.
337;Tasas por aprovechamiento del vuelo.
338;Compensación de Telefónica de España, S.A.
339;Otras tasas por utilización privativa del dominio público.
340;Servicios hospitalarios.
341;Servicios asistenciales.
342;Servicios educativos.
343;Servicios deportivos.
